tier,company,website,drop_reason
B,Washington Trust Bancorp,washtrust.com,
B,i3 Verticals,i3verticals.com,
B,Gallup,gallup.com,
B,NERA Economic Consulting,nera.com,
B,Public Consulting Group,publicconsultinggroup.com,
B,Secretariat,secretariat-intl.com,
B,Segal,segalco.com,
B,Stout,stout.com,
B,1898 & Co.,1898andco.com,
B,Bates White,bateswhite.com,
B,Consertus,consertus.com,
B,ECG Management Consultants,ecgmc.com,
B,Guidepost Solutions,guidepostsolutions.com,
B,Mu Sigma,mu-sigma.com,
B,Optimum Healthcare IT,optimumhit.com,
B,Prophet,prophet.com,
B,StoneTurn,stoneturn.com,
B,The Brattle Group,brattle.com,
B,Alexander Group,alexandergroup.com,
B,Applied Value Group,appliedvaluegroup.com,
B,Divurgent,divurgent.com,
B,Ducker Carlisle,duckercarlisle.com,
